,agaric,agaricus,amanita,bolete,boletus,cortinarius,earthstar,entoloma,gyromitra,hen_of_the_woods,hygrocybe,lactarius,russula,stinkhorn,suillus
agaric,0.0,0.18548387096774194,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.7983870967741935,0.0,0.0,0.0,0.0,0.0
agaricus,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.30303030303030304,0.0,0.0,0.0,0.0,0.0
amanita,0.0,0.5324675324675324,0.0,0.0,0.0,0.0,0.05194805194805195,0.0,0.0,0.4025974025974026,0.012987012987012988,0.0,0.0,0.0,0.0
bolete,0.0,0.22413793103448276,0.0,0.0,0.0,0.0,0.05172413793103448,0.0,0.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.0
boletus,0.0,0.39285714285714285,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.5982142857142857,0.0,0.0,0.0,0.0,0.0
cortinarius,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.41975308641975306,0.0,0.0,0.0,0.0,0.0
earthstar,0.0,0.32231404958677684,0.0,0.0,0.0,0.0,0.049586776859504134,0.0,0.0,0.628099173553719,0.0,0.0,0.0,0.0,0.0
entoloma,0.0,0.35,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0
gyromitra,0.0,0.1347517730496454,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.8439716312056738,0.0,0.0,0.0,0.0,0.0
hen_of_the_woods,0.0,0.25190839694656486,0.0,0.0,0.0,0.0,0.022900763358778626,0.0,0.0,0.7251908396946565,0.0,0.0,0.0,0.0,0.0
hygrocybe,0.0,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5365853658536586,0.024390243902439025,0.0,0.0,0.0,0.0
lactarius,0.0,0.5511811023622047,0.0,0.0,0.0,0.0,0.03937007874015748,0.0,0.0,0.4094488188976378,0.0,0.0,0.0,0.0,0.0
russula,0.0,0.6642335766423357,0.0,0.0,0.0,0.0,0.029197080291970802,0.0,0.0,0.30656934306569344,0.0,0.0,0.0,0.0,0.0
stinkhorn,0.0,0.27941176470588236,0.0,0.0,0.0,0.0,0.03676470588235294,0.0,0.0,0.6838235294117647,0.0,0.0,0.0,0.0,0.0
suillus,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.0,0.0
